Feature,Importance
First_Sem_Completion_Rate,0.3125473704431854
First_Sem_Approval_Rate,0.11068865335389906
Tuition fees up to date,0.09863019678919493
Curricular units 1st sem (grade),0.09508968880388599
Previous qualification (grade),0.041020071467437524
Age at enrollment,0.03823402813888521
GDP,0.03367371837707604
Admission grade,0.03181781898577933
Curricular units 1st sem (enrolled),0.031323740055063165
First_Sem_Evaluation_Rate,0.02391838851367266
Unemployment rate,0.02285416782119325
Scholarship holder,0.022611119563001554
Debtor,0.015209205292556944
Mother's occupation_0,0.008742118889528205
Inflation rate,0.008692514781826723
Course_9238,0.008030101942591763
Course_9119,0.0064037609468313925
Displaced,0.006167267950114803
Mother's qualification_34,0.006017979344205852
Father's occupation_7,0.005869147433148463
Course_9254,0.005484805200480932
Father's occupation_4,0.005161040322233361
Application order_3,0.004508131131125689
Father's qualification_4,0.004443363489218328
Application mode_17,0.00429893687127145
Mother's qualification_37,0.004072524402315813
Father's qualification_19,0.0037363410257190764
Mother's occupation_9,0.003601615208305245
Gender,0.0031268390769595747
Mother's occupation_2,0.0031172627017897105
Mother's qualification_1,0.003075336296445577
Mother's qualification_19,0.0029301788874933963
Application mode_39,0.0027432150432392713
Course_9085,0.0026433417499764312
Course_9130,0.0024955703322626765
Mother's occupation_3,0.0024780503798519492
Application mode_43,0.001990041792876474
Course_8014,0.0019334842340527692
Marital status_1,0.001852141000724144
Father's qualification_37,0.0018038280717535974
Father's qualification_38,0.0016595250683786916
Mother's occupation_8,0.0014321364526455745
Application mode_1,0.0013848080280538988
Curricular units 1st sem (evaluations),0.001068361033757525
Father's occupation_8,0.0006666293795678167
Marital status_4,0.00047411064172078016
Father's occupation_9,0.00019241722471726415
Course_9070,8.490605998467336e-05
Application order_0,0.0
Application mode_57,0.0
Application mode_53,0.0
Application mode_51,0.0
Application mode_44,0.0
Application mode_42,0.0
Application mode_26,0.0
Application mode_27,0.0
Application mode_10,0.0
Course_33,0.0
Application order_6,0.0
Application order_9,0.0
Application order_4,0.0
Course_171,0.0
Application order_2,0.0
Application order_5,0.0
Course_9147,0.0
Course_9003,0.0
Course_9500,0.0
Course_9556,0.0
Course_9670,0.0
Course_9773,0.0
Course_9853,0.0
Course_9991,0.0
Previous qualification_1,0.0
Previous qualification_2,0.0
Previous qualification_3,0.0
Previous qualification_4,0.0
Previous qualification_5,0.0
Previous qualification_6,0.0
Previous qualification_9,0.0
Application order_1,0.0
Previous qualification_10,0.0
Previous qualification_12,0.0
Previous qualification_15,0.0
Previous qualification_14,0.0
Previous qualification_38,0.0
Previous qualification_39,0.0
Previous qualification_40,0.0
Previous qualification_19,0.0
Previous qualification_43,0.0
Nacionality_1,0.0
Nacionality_2,0.0
Nacionality_6,0.0
Nacionality_11,0.0
Nacionality_13,0.0
Nacionality_14,0.0
Previous qualification_42,0.0
Application mode_5,0.0
Application mode_2,0.0
Marital status_6,0.0
Application mode_7,0.0
Application mode_16,0.0
Application mode_18,0.0
Application mode_15,0.0
International,0.0
Curricular units 1st sem (credited),0.0
Daytime/evening attendance,0.0
Educational special needs,0.0
Curricular units 1st sem (approved),0.0
Marital status_5,0.0
Curricular units 1st sem (without evaluations),0.0
Marital status_3,0.0
Marital status_2,0.0
Mother's qualification_4,0.0
Mother's qualification_3,0.0
Mother's qualification_2,0.0
Nacionality_108,0.0
Nacionality_103,0.0
Nacionality_105,0.0
Nacionality_101,0.0
