Feature,Importance
First_Sem_Completion_Rate,0.49128060452407424
Tuition fees up to date,0.08154925528731996
First_Sem_Approval_Rate,0.05664745203758803
Curricular units 1st sem (grade),0.043365803360176564
Course_171,0.03496039094232047
Age at enrollment,0.03127215270089054
Admission grade,0.026236020622274665
Unemployment rate,0.025526380704462424
Previous qualification (grade),0.021587859573088744
Scholarship holder,0.020628636006776373
GDP,0.01714632627774184
Course_9119,0.015289329778485669
First_Sem_Evaluation_Rate,0.01497428477911249
Curricular units 1st sem (approved),0.013299014717114173
Course_9853,0.00892108263120875
Curricular units 1st sem (without evaluations),0.007912264675090874
Gender,0.0079095356740286
Inflation rate,0.006550294166789384
Debtor,0.0054282687338459935
Mother's qualification_37,0.005176463087734836
Displaced,0.004544321975730423
Application mode_1,0.004530202774442102
Course_9254,0.0035461076315626717
Father's occupation_10,0.0031781151413362435
Application order_3,0.003046989050589336
Course_9991,0.002859371331976026
Father's occupation_3,0.002823063601017216
Application order_6,0.002742957252474435
Curricular units 1st sem (credited),0.0026936468831444504
Curricular units 1st sem (enrolled),0.0026413313904930296
Mother's occupation_0,0.0024475774629301073
Father's occupation_6,0.0024121864186090036
Curricular units 1st sem (evaluations),0.00217991390386155
Father's qualification_3,0.0020108682978251112
Mother's occupation_9,0.0019947310857479474
Father's occupation_5,0.0019407779673976016
Father's occupation_7,0.0018662080719721234
Course_9085,0.0017646014887059275
Application mode_17,0.001738306424970856
Application order_1,0.0016783730794984921
Course_9147,0.0016447305471218147
Mother's occupation_7,0.0015844589766179113
Application mode_39,0.0015527955696261278
Father's qualification_37,0.0014165692837312435
Father's qualification_19,0.0013236303465975529
Application mode_43,0.0011380360697843775
Mother's occupation_8,0.001025440397234254
Mother's occupation_4,0.0009830350885274253
Mother's occupation_3,0.0008728356192687462
Daytime/evening attendance,0.00015739658708124993
Application order_0,0.0
Application mode_51,0.0
Application mode_44,0.0
Application mode_42,0.0
Application mode_26,0.0
Application mode_27,0.0
Application mode_10,0.0
Application mode_15,0.0
Course_33,0.0
Application order_4,0.0
Course_9070,0.0
Application order_9,0.0
Application order_5,0.0
Application order_2,0.0
Course_9130,0.0
Application mode_57,0.0
Application mode_53,0.0
Course_9238,0.0
Course_9556,0.0
Course_9500,0.0
Course_9773,0.0
Course_9670,0.0
Previous qualification_1,0.0
Previous qualification_2,0.0
Previous qualification_3,0.0
Previous qualification_4,0.0
Previous qualification_5,0.0
Previous qualification_6,0.0
Previous qualification_9,0.0
Previous qualification_10,0.0
Previous qualification_12,0.0
Previous qualification_14,0.0
Previous qualification_15,0.0
Previous qualification_19,0.0
Previous qualification_38,0.0
Previous qualification_39,0.0
Previous qualification_40,0.0
Previous qualification_42,0.0
Previous qualification_43,0.0
Nacionality_1,0.0
Nacionality_2,0.0
Nacionality_6,0.0
Nacionality_11,0.0
Nacionality_13,0.0
Nacionality_14,0.0
Nacionality_21,0.0
Nacionality_22,0.0
Course_8014,0.0
Course_9003,0.0
Application mode_2,0.0
Application mode_16,0.0
Application mode_18,0.0
Marital status_6,0.0
Application mode_7,0.0
Application mode_5,0.0
International,0.0
Educational special needs,0.0
Marital status_1,0.0
Marital status_5,0.0
Marital status_2,0.0
Marital status_4,0.0
Marital status_3,0.0
Mother's qualification_4,0.0
Mother's qualification_3,0.0
Mother's qualification_2,0.0
Mother's qualification_1,0.0
Nacionality_108,0.0
Nacionality_105,0.0
Nacionality_103,0.0
Nacionality_101,0.0
Nacionality_100,0.0
Nacionality_62,0.0
Nacionality_41,0.0
Nacionality_32,0.0
Nacionality_26,0.0
Nacionality_25,0.0
Nacionality_24,0.0
Mother's qualification_19,0.0
Mother's qualification_36,0.0
Mother's qualification_35,0.0
Mother's qualification_39,0.0
Mother's qualification_38,0.0
Mother's qualification_41,0.0
Mother's qualification_42,0.0
Mother's qualification_43,0.0
Mother's qualification_40,0.0
Mother's qualification_44,0.0
Mother's qualification_22,0.0
Mother's qualification_5,0.0
Mother's qualification_6,0.0
Mother's qualification_11,0.0
Mother's qualification_12,0.0
Mother's qualification_9,0.0
Mother's qualification_10,0.0
Father's qualification_10,0.0
Father's qualification_9,0.0
Father's qualification_6,0.0
Father's qualification_5,0.0
Father's qualification_4,0.0
Father's qualification_2,0.0
Father's qualification_14,0.0
Father's qualification_11,0.0
Father's qualification_26,0.0
Father's qualification_27,0.0
Father's qualification_29,0.0
Father's qualification_12,0.0
Father's qualification_18,0.0
Father's qualification_20,0.0
Father's qualification_22,0.0
Father's qualification_25,0.0
Father's qualification_36,0.0
Father's qualification_35,0.0
Father's qualification_34,0.0
Father's qualification_31,0.0
Father's qualification_30,0.0
Father's qualification_38,0.0
Father's qualification_39,0.0
Father's qualification_40,0.0
Father's qualification_44,0.0
Father's qualification_1,0.0
Mother's qualification_26,0.0
Mother's qualification_29,0.0
Mother's qualification_30,0.0
Mother's qualification_34,0.0
Mother's qualification_14,0.0
Mother's qualification_18,0.0
Mother's occupation_6,0.0
Mother's occupation_5,0.0
Mother's occupation_1,0.0
Mother's occupation_2,0.0
Father's qualification_41,0.0
Father's qualification_42,0.0
Father's qualification_43,0.0
Mother's occupation_10,0.0
Mother's occupation_132,0.0
Mother's occupation_134,0.0
Mother's occupation_141,0.0
Mother's occupation_143,0.0
Mother's occupation_99,0.0
Mother's occupation_122,0.0
Mother's occupation_123,0.0
Mother's occupation_90,0.0
Mother's occupation_153,0.0
Mother's occupation_152,0.0
Mother's occupation_151,0.0
Mother's occupation_144,0.0
Mother's occupation_171,0.0
Mother's occupation_173,0.0
Mother's occupation_175,0.0
Mother's occupation_191,0.0
Father's occupation_0,0.0
Mother's occupation_194,0.0
Mother's occupation_193,0.0
Mother's occupation_192,0.0
Father's occupation_4,0.0
Father's occupation_2,0.0
Father's occupation_1,0.0
Mother's occupation_131,0.0
Father's occupation_8,0.0
Father's occupation_9,0.0
Father's occupation_90,0.0
Father's occupation_99,0.0
Father's occupation_101,0.0
Father's occupation_102,0.0
Father's occupation_103,0.0
Father's occupation_112,0.0
Father's occupation_122,0.0
Father's occupation_123,0.0
Father's occupation_131,0.0
Father's occupation_134,0.0
Father's occupation_135,0.0
Father's occupation_141,0.0
Father's occupation_143,0.0
Father's occupation_144,0.0
Father's occupation_151,0.0
Father's occupation_152,0.0
Father's occupation_153,0.0
Father's occupation_154,0.0
Father's occupation_161,0.0
Father's occupation_163,0.0
Father's occupation_171,0.0
Father's occupation_172,0.0
Father's occupation_175,0.0
Father's occupation_181,0.0
Father's occupation_182,0.0
Father's occupation_183,0.0
Father's occupation_192,0.0
Father's occupation_193,0.0
Father's occupation_194,0.0
Father's occupation_195,0.0
