Feature,Importance
First_Sem_Approval_Rate,0.09152388396613255
First_Sem_Completion_Rate,0.08686597829639821
Curricular units 1st sem (grade),0.07307521240831927
Curricular units 1st sem (approved),0.061218981925006
First_Sem_Evaluation_Rate,0.04647065666669201
Tuition fees up to date,0.04431844259576289
Age at enrollment,0.03883914682383104
Curricular units 1st sem (evaluations),0.03631086622487906
Admission grade,0.03392140014154581
Previous qualification (grade),0.031436244185358966
Unemployment rate,0.02189387609254259
GDP,0.021087068398088923
Curricular units 1st sem (enrolled),0.021053885449239182
Inflation rate,0.02006262100807159
Scholarship holder,0.016788413354893342
Gender,0.012337850500752255
Debtor,0.012066238010160052
Application mode_39,0.008873732240968123
Application mode_1,0.008189427379580165
Displaced,0.007990571827811021
Curricular units 1st sem (credited),0.007719199944166176
Mother's occupation_9,0.0071020364294923696
Father's qualification_19,0.0067632820610288745
Father's qualification_37,0.0062743618912274035
Course_9238,0.00617865776208488
Mother's qualification_19,0.006141016047587909
Mother's qualification_1,0.005885273406585693
Mother's qualification_37,0.005720137484745608
Course_9500,0.005671103373935453
Father's occupation_9,0.005637662922450143
Mother's occupation_0,0.005446539968836367
Father's qualification_38,0.005434369181136888
Mother's occupation_4,0.00540323942565073
Application order_1,0.005382496184053996
Course_9119,0.005324475109297832
Curricular units 1st sem (without evaluations),0.005253192695218158
Father's qualification_1,0.005180945989969642
Application mode_43,0.005104132070563015
Application mode_17,0.005101623418100423
Father's occupation_5,0.005002870002022811
Father's occupation_4,0.0048676625966200815
Father's occupation_3,0.0048032786903150606
Mother's occupation_5,0.00468447498638889
Father's occupation_7,0.0045489893894788145
Previous qualification_1,0.004366889341199422
Course_9147,0.004277656043628847
Course_9853,0.004260025972934514
Course_9085,0.004251507569191701
Mother's qualification_3,0.00418426572432867
Course_171,0.0041306940759624974
Application order_3,0.003981280664186511
Mother's occupation_3,0.003908624876577587
Mother's qualification_38,0.0039022662059237695
Application order_2,0.0037999489730584533
Course_9254,0.003516760146034392
Daytime/evening attendance,0.0034978815871869913
Previous qualification_19,0.003412547109137645
Mother's qualification_34,0.003280757425277191
Mother's occupation_2,0.0032647974313821247
Marital status_1,0.0032573617450668934
Father's occupation_10,0.0032502980425535154
Father's qualification_3,0.003187181522344671
Father's occupation_8,0.0031753402779033553
Marital status_2,0.0031166255213057313
Father's occupation_2,0.003110719912285558
Course_9773,0.003074969922213387
Mother's occupation_7,0.003024868795675302
Course_9130,0.00298887774599189
Father's qualification_34,0.0029586231539027517
Father's occupation_0,0.0029525008456401315
Course_9991,0.002799462946948088
Application mode_44,0.0027800924651063285
Course_9670,0.0027644491283022993
Father's occupation_6,0.0026789421879669824
Application mode_7,0.0025773594074172857
Application order_4,0.002554301809401347
Course_9070,0.0023254784644612587
Course_9003,0.0023243144449461716
Previous qualification_39,0.0022278436105358547
Previous qualification_3,0.002105009886149164
Course_8014,0.0020558329868915724
Father's occupation_1,0.002011786168700941
Application mode_18,0.0019749593046704513
Father's qualification_2,0.0019196552083565108
Mother's occupation_6,0.0019151291783673472
Father's occupation_90,0.001695107025745829
Application order_6,0.0016565930651317622
Application mode_51,0.001547926608011267
Mother's occupation_90,0.0015055228551670177
Nacionality_1,0.001499136501374246
Application order_5,0.001436003226701738
Mother's occupation_1,0.0014275059725225212
Mother's qualification_2,0.0014198454901579005
Marital status_4,0.0013369506498898604
International,0.0012757883142649482
Mother's occupation_8,0.0012545362633874632
Application mode_42,0.001235353835385221
Father's qualification_39,0.0011878678692419833
Mother's occupation_191,0.001179215515259953
Course_9556,0.0010864688123759137
Father's qualification_12,0.0010685194568132146
Educational special needs,0.000953877771075416
Mother's qualification_12,0.0008615839658051948
Father's qualification_4,0.000850519340109903
Previous qualification_12,0.000765888048286506
Application mode_15,0.0007505162606321169
Application mode_53,0.0007306088792503935
Application mode_16,0.0006773265672667881
Previous qualification_42,0.0006513696420663935
Mother's qualification_4,0.0006004657431169313
Nacionality_26,0.0005855726332837254
Previous qualification_2,0.0005729767371053719
Application mode_5,0.0005678083806658557
Previous qualification_40,0.0005605354793889254
Father's occupation_193,0.0004942421257738288
Nacionality_41,0.0004567088087933146
Mother's qualification_5,0.0004468498423206031
Father's occupation_163,0.0004467724508710161
Course_33,0.00043405643402241506
Mother's occupation_192,0.0004105122958106347
Father's qualification_5,0.0003568439551838525
Father's occupation_99,0.0003432221423081727
Father's qualification_40,0.0003226483150812848
Mother's occupation_99,0.00030402400797831686
Mother's occupation_141,0.00029444398138538103
Marital status_5,0.00028718365199009586
Mother's qualification_40,0.0002779199829694912
Mother's occupation_194,0.00027112244166838865
Mother's occupation_134,0.00026883043146223043
Father's occupation_192,0.00026385490030993836
Nacionality_6,0.00025703577933032
Father's occupation_144,0.00024933821831847435
Marital status_3,0.0002436488057315109
Nacionality_100,0.0002305990136963491
Mother's qualification_39,0.00022829050389649484
Mother's occupation_144,0.0002094664418101148
Father's qualification_31,0.00019311614790700371
Previous qualification_6,0.00018775669122021217
Father's occupation_122,0.0001735956697502969
Application mode_10,0.00017322170074440612
Marital status_6,0.0001723048866379612
Nacionality_21,0.00017226227899532314
Previous qualification_4,0.0001670701336552179
Father's occupation_171,0.00016486483463298965
Nacionality_22,0.00016353926267965709
Father's occupation_123,0.0001606422995087461
Father's occupation_175,0.00015678255093145798
Nacionality_105,0.0001556697389979484
Nacionality_25,0.00014923600287313933
Father's qualification_11,0.00014597285312772064
Mother's qualification_43,0.00014328339290346821
Father's occupation_172,0.0001420396484728928
Mother's occupation_132,0.00014004117529585775
Mother's occupation_175,0.0001342673195853206
Mother's occupation_151,0.00012384063843541178
Father's occupation_134,0.00011933763866806398
Nacionality_24,0.00011476464783041818
Mother's occupation_122,0.00011119036170149922
Mother's qualification_9,0.00010205151854993706
Father's occupation_183,9.510108189934703e-05
Father's qualification_14,9.189180302217381e-05
Mother's qualification_36,8.24750431453029e-05
Father's qualification_22,7.961226669589987e-05
Father's occupation_182,7.775516512224672e-05
Application order_9,7.63877891199453e-05
Previous qualification_15,7.532652842131894e-05
Father's qualification_9,7.499891134108139e-05
Previous qualification_38,7.4221021802105e-05
Mother's qualification_29,6.488723920756264e-05
Father's qualification_18,6.429759565108275e-05
Mother's occupation_143,6.403045898753152e-05
Father's occupation_161,6.381258400748922e-05
Father's qualification_6,6.146801474918488e-05
Application mode_2,5.717620738371686e-05
Father's qualification_30,5.239411102901862e-05
Mother's occupation_123,4.9237896860239344e-05
Mother's qualification_41,4.851550502253847e-05
Father's qualification_36,4.6323043194233926e-05
Mother's qualification_10,4.5730316368948106e-05
Father's qualification_25,4.4755041956780024e-05
Nacionality_103,4.3823449407184234e-05
Father's qualification_10,4.3715856361052163e-05
